start_note	end_note	name	melodic_structure	lyric_structure	lyrics	slug
2	59	ARANAĞME	A1	INSTRUMENTAL		ARANAGME
60	117	ARANAĞME	A1	INSTRUMENTAL		ARANAGME
118	143	VOCAL_SECTION	A2	A2	Gülşen_i hüsnüne kimler varıyor  	VOCAL_SECTION
144	172	VOCAL_SECTION	A3	A2	Gülşen_i hüsnüne kimler varıyor  	VOCAL_SECTION
173	201	VOCAL_SECTION	A4	A3	Kim_ayağın_öperek yalvarıyor  	VOCAL_SECTION
202	233	VOCAL_SECTION	A5	A3	Kim_ayağın_öperek yalvarıyor  	VOCAL_SECTION
234	257	VOCAL_SECTION	A6	A4	Bağrımı şâne gibi kim yarıyor  	VOCAL_SECTION
258	287	VOCAL_SECTION	A7	A4	Bağrımı şâne gibi kim yarıyor  	VOCAL_SECTION
288	316	VOCAL_SECTION	A4	A3	Kim_ayağın_öperek yalvarıyor  	VOCAL_SECTION
317	342	VOCAL_SECTION	A8	A3	Kim_ayağın_öperek yalvarıyor  	VOCAL_SECTION
