start_note	end_note	name	melodic_structure	lyric_structure	lyrics	slug
2	49	1. HANE	A1	INSTRUMENTAL		1-HANE
50	97	1. HANE	A1	INSTRUMENTAL		1-HANE
98	141	TESLİM	A2	INSTRUMENTAL		TESLIM
142	185	TESLİM	A2	INSTRUMENTAL		TESLIM
186	220	2. HANE	A3	INSTRUMENTAL		2-HANE
221	255	2. HANE	A3	INSTRUMENTAL		2-HANE
256	299	TESLİM	A2	INSTRUMENTAL		TESLIM
300	343	TESLİM	A2	INSTRUMENTAL		TESLIM
344	391	3. HANE	A4	INSTRUMENTAL		3-HANE
392	439	3. HANE	A4	INSTRUMENTAL		3-HANE
440	483	TESLİM	A2	INSTRUMENTAL		TESLIM
484	528	TESLİM	A2	INSTRUMENTAL		TESLIM
529	719	4. HANE	A5	INSTRUMENTAL		4-HANE
720	763	TESLİM	A2	INSTRUMENTAL		TESLIM
764	807	TESLİM	A2	INSTRUMENTAL		TESLIM
