start_note	end_note	name	melodic_structure	lyric_structure	lyrics	slug
2	45	1. HANE	A1	INSTRUMENTAL		1-HANE
46	103	TESLİM	A2	INSTRUMENTAL		TESLIM
104	158	TESLİM	A3	INSTRUMENTAL		TESLIM
159	214	2. HANE	A4	INSTRUMENTAL		2-HANE
215	272	TESLİM	A2	INSTRUMENTAL		TESLIM
273	327	TESLİM	A3	INSTRUMENTAL		TESLIM
328	427	3. HANE	A5	INSTRUMENTAL		3-HANE
428	485	TESLİM	A2	INSTRUMENTAL		TESLIM
486	541	TESLİM	A3	INSTRUMENTAL		TESLIM
542	762	4. HANE	A6	INSTRUMENTAL		4-HANE
763	820	TESLİM	A2	INSTRUMENTAL		TESLIM
821	875	TESLİM	A3	INSTRUMENTAL		TESLIM
