start_note	end_note	name	melodic_structure	lyric_structure	lyrics	slug
2	50	1. HANE	A1	INSTRUMENTAL		1-HANE
51	100	TESLİM	A2	INSTRUMENTAL		TESLIM
101	147	TESLİM	A3	INSTRUMENTAL		TESLIM
148	197	2. HANE	A4	INSTRUMENTAL		2-HANE
198	247	TESLİM	A2	INSTRUMENTAL		TESLIM
248	294	TESLİM	A3	INSTRUMENTAL		TESLIM
295	340	3. HANE	A5	INSTRUMENTAL		3-HANE
341	390	TESLİM	A2	INSTRUMENTAL		TESLIM
391	438	TESLİM	A3	INSTRUMENTAL		TESLIM
439	497	4. HANE	A6	INSTRUMENTAL		4-HANE
498	554	4. HANE	A7	INSTRUMENTAL		4-HANE
555	604	TESLİM	A2	INSTRUMENTAL		TESLIM
605	651	TESLİM	A3	INSTRUMENTAL		TESLIM
