start_note	end_note	name	melodic_structure	lyric_structure	lyrics	slug
2	47	1. HANE	AB1	INSTRUMENTAL		1-HANE
48	107	TESLİM	AC1	INSTRUMENTAL		TESLIM
108	164	TESLİM	AC2	INSTRUMENTAL		TESLIM
165	218	2. HANE	BD1	INSTRUMENTAL		2-HANE
219	272	2. HANE	BD1	INSTRUMENTAL		2-HANE
273	332	TESLİM	AC1	INSTRUMENTAL		TESLIM
333	389	TESLİM	AC2	INSTRUMENTAL		TESLIM
390	433	3. HANE	CD1	INSTRUMENTAL		3-HANE
434	477	3. HANE	CD1	INSTRUMENTAL		3-HANE
478	537	TESLİM	AC1	INSTRUMENTAL		TESLIM
538	595	TESLİM	AC2	INSTRUMENTAL		TESLIM
596	807	4. HANE	A1	INSTRUMENTAL		4-HANE
808	867	TESLİM	AC1	INSTRUMENTAL		TESLIM
868	924	TESLİM	AC2	INSTRUMENTAL		TESLIM
