start_note	end_note	name	melodic_structure	lyric_structure	lyrics	slug
2	47	1. HANE	A1	INSTRUMENTAL		1-HANE
48	112	TESLİM	AB1	INSTRUMENTAL		TESLIM
113	177	TESLİM	AB1	INSTRUMENTAL		TESLIM
178	224	2. HANE	B1	INSTRUMENTAL		2-HANE
225	289	TESLİM	AB1	INSTRUMENTAL		TESLIM
290	354	TESLİM	AB1	INSTRUMENTAL		TESLIM
355	426	3. HANE	AB2	INSTRUMENTAL		3-HANE
427	491	TESLİM	AB1	INSTRUMENTAL		TESLIM
492	557	TESLİM	AB1	INSTRUMENTAL		TESLIM
558	630	4. HANE	AB3	INSTRUMENTAL		4-HANE
631	704	4. HANE	AB3	INSTRUMENTAL		4-HANE
705	769	TESLİM	AB1	INSTRUMENTAL		TESLIM
770	834	TESLİM	AB1	INSTRUMENTAL		TESLIM
