start_note	end_note	name	melodic_structure	lyric_structure	lyrics	slug
2	67	1. HANE	A1	INSTRUMENTAL		1-HANE
68	124	MÜLÂZİME	A2	INSTRUMENTAL		MULAZIME
125	180	MÜLÂZİME	A3	INSTRUMENTAL		MULAZIME
181	243	2. HANE	A4	INSTRUMENTAL		2-HANE
244	300	MÜLÂZİME	A2	INSTRUMENTAL		MULAZIME
301	356	MÜLÂZİME	A3	INSTRUMENTAL		MULAZIME
357	419	3. HANE	A5	INSTRUMENTAL		3-HANE
420	476	MÜLÂZİME	A2	INSTRUMENTAL		MULAZIME
477	533	MÜLÂZİME	A3	INSTRUMENTAL		MULAZIME
534	709	4. HANE	A6	INSTRUMENTAL		4-HANE
710	766	MÜLÂZİME	A2	INSTRUMENTAL		MULAZIME
767	822	MÜLÂZİME	A3	INSTRUMENTAL		MULAZIME
