start_note	end_note	name	melodic_structure	lyric_structure	lyrics	slug
2	74	1. HANE	AB1	INSTRUMENTAL		1-HANE
75	108	TESLİM	A1	INSTRUMENTAL		TESLIM
109	142	TESLİM	A1	INSTRUMENTAL		TESLIM
143	226	2. HANE	ABC1	INSTRUMENTAL		2-HANE
227	260	TESLİM	A1	INSTRUMENTAL		TESLIM
261	294	TESLİM	A1	INSTRUMENTAL		TESLIM
295	356	3. HANE	C1	INSTRUMENTAL		3-HANE
357	390	TESLİM	A1	INSTRUMENTAL		TESLIM
391	425	TESLİM	A1	INSTRUMENTAL		TESLIM
426	600	4. HANE	B1	INSTRUMENTAL		4-HANE
601	634	TESLİM	A1	INSTRUMENTAL		TESLIM
635	668	TESLİM	A1	INSTRUMENTAL		TESLIM
