start_note	end_note	name	melodic_structure	lyric_structure	lyrics	slug
2	56	1. HANE	A1	INSTRUMENTAL		1-HANE
57	109	TESLİM	AB1	INSTRUMENTAL		TESLIM
110	162	TESLİM	AB1	INSTRUMENTAL		TESLIM
163	211	2. HANE	ABC1	INSTRUMENTAL		2-HANE
212	264	TESLİM	AB1	INSTRUMENTAL		TESLIM
265	317	TESLİM	AB1	INSTRUMENTAL		TESLIM
318	372	3. HANE	C1	INSTRUMENTAL		3-HANE
373	425	TESLİM	AB1	INSTRUMENTAL		TESLIM
426	479	TESLİM	AB1	INSTRUMENTAL		TESLIM
480	526	4. HANE	B1	INSTRUMENTAL		4-HANE
527	574	4. HANE	B1	INSTRUMENTAL		4-HANE
575	627	TESLİM	AB1	INSTRUMENTAL		TESLIM
628	680	TESLİM	AB1	INSTRUMENTAL		TESLIM
