start_note	end_note	name	melodic_structure	lyric_structure	lyrics	slug
2	52	ARANAĞME	A1	INSTRUMENTAL		ARANAGME
53	103	ARANAĞME	A1	INSTRUMENTAL		ARANAGME
104	119	VOCAL_SECTION	BC1	B1	Hicrân_oku sînem deler  	VOCAL_SECTION
120	136	VOCAL_SECTION	BDE1	B1	Hicrân_oku sînem deler  	VOCAL_SECTION
137	159	VOCAL_SECTION	A2	C1	Olmaktadır halim beter  	VOCAL_SECTION
160	181	VOCAL_SECTION	EF1	C1	Olmaktadır halim beter  	VOCAL_SECTION
182	203	VOCAL_SECTION	G1	D1	Bu iftirak artık yeter  	VOCAL_SECTION
204	225	VOCAL_SECTION	D1	D1	Bu iftirak artık yeter  	VOCAL_SECTION
226	248	VOCAL_SECTION	A2	E1	İnsâfa gel ey şîveger  	VOCAL_SECTION
249	270	VOCAL_SECTION	EF2	B2	Bir gün_olur çağın geçer  	VOCAL_SECTION
271	293	VOCAL_SECTION	A2	E1	İnsâfa gel ey şîveger  	VOCAL_SECTION
294	311	VOCAL_SECTION	CF1	B2	Bir gün_olur çağın geçer  	VOCAL_SECTION
312	362	ARANAĞME	A1	INSTRUMENTAL		ARANAGME
363	413	ARANAĞME	A1	INSTRUMENTAL		ARANAGME
414	429	VOCAL_SECTION	BC1	B1	Hicrân_oku sînem deler  	VOCAL_SECTION
430	446	VOCAL_SECTION	BDE1	B1	Hicrân_oku sînem deler  	VOCAL_SECTION
447	469	VOCAL_SECTION	A2	C1	Olmaktadır halim beter  	VOCAL_SECTION
470	491	VOCAL_SECTION	EF1	C1	Olmaktadır halim beter  	VOCAL_SECTION
492	513	VOCAL_SECTION	G1	D1	Bu iftirak artık yeter  	VOCAL_SECTION
514	535	VOCAL_SECTION	D1	D1	Bu iftirak artık yeter  	VOCAL_SECTION
536	558	VOCAL_SECTION	A2	E1	İnsâfa gel ey şîveger  	VOCAL_SECTION
559	580	VOCAL_SECTION	EF2	B2	Bir gün_olur çağın geçer  	VOCAL_SECTION
581	603	VOCAL_SECTION	A2	E1	İnsâfa gel ey şîveger  	VOCAL_SECTION
604	621	VOCAL_SECTION	CF1	B2	Bir gün_olur çağın geçer  	VOCAL_SECTION
