start_note	end_note	name	melodic_structure	lyric_structure	lyrics	slug
2	50	1. HANE	A1	INSTRUMENTAL		1-HANE
51	99	TESLİM	BC1	INSTRUMENTAL		TESLIM
100	148	TESLİM	BC1	INSTRUMENTAL		TESLIM
149	193	2. HANE	D1	INSTRUMENTAL		2-HANE
194	245	TESLİM	CE1	INSTRUMENTAL		TESLIM
246	293	TESLİM	BCEF1	INSTRUMENTAL		TESLIM
294	335	3. HANE	G1	INSTRUMENTAL		3-HANE
336	387	TESLİM	BCEF2	INSTRUMENTAL		TESLIM
388	436	TESLİM	BC2	INSTRUMENTAL		TESLIM
437	566	4. HANE	H1	INSTRUMENTAL		4-HANE
567	624	TESLİM	EF1	INSTRUMENTAL		TESLIM
625	678	TESLİM	BF1	INSTRUMENTAL		TESLIM
